keyword,source,author,title,description,content,summary,full_text,publishedAt,url,language
usaid kenya,Al Jazeera English,Al Jazeera,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",President Donald Trump and adviser Elon Musk celebrated their efforts to slash federal spending before Musk stepped away from his White House work. Musk wore a black DOGE hat over a bruised right eye… [+11355 chars],,,2025-06-06T11:21:51Z,https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,
usaid kenya,CleanTechnica,Guest Contributor,"The Life Story of Ecomobilus Technologies Limited, Kenya — emKoko Project","By Prof Geoffrey Gitau Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mkokoteni in Kenya) play a crucial role in Kenya, providing a c…","By Prof Geoffrey Gitau
Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mk… [+7286 chars]",,,2025-05-26T17:13:41Z,https://cleantechnica.com/2025/05/26/the-life-story-of-ecomobilus-technologies-limited-kenya-emkoko-project/,
usaid kenya,ProPublica,by Brett Murphy and Anna Maria Barry-Jester,"Death, Sexual Violence and Human Trafficking: Fallout From U.S. Aid Withdrawal Hits the World’s Most Fragile Locations","by Brett Murphy and Anna Maria Barry-Jester 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as they’re published.

 

 

 
 



 
American diplomats in at least two countries have r…","ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as theyre published.
American diplomats in at least two countries have recently d… [+11648 chars]",,,2025-05-28T18:45:00Z,https://www.propublica.org/article/trump-usaid-malawi-state-department-crime-sexual-violence-trafficking,
usaid kenya,Daily Signal,Mike Gonzalez,Congress Should Quickly Approve Trump’s Rescission Legislation,"President Donald Trump‘s rescission legislation has finally arrived in Congress, where it will have 45 days to be approved by both chambers on a simple majority vote.... Read More
The post Congress Should Quickly Approve Trump’s Rescission Legislation appeare…","President Donald Trumps rescission legislation has finally arrived in Congress, where it will have 45 days to be approved by both chambers on a simple majority vote. Success would be a significant vi… [+5038 chars]",,,2025-06-10T12:00:00Z,https://www.dailysignal.com/2025/06/10/congress-should-quickly-approve-trumps-rescission-legislation/,
usaid kenya,Forbes,"Danielle Nierenberg, Contributor, 
 Danielle Nierenberg, Contributor
 https://www.forbes.com/sites/daniellenierenberg/",Food Safety Depends On Every Link In The Supply Chain,Almost 1 in 10 people globally fall ill from contaminated food every year. Making our food supply safer for communities depends on everyone.,"Colorful fish and vegetables can be purchased at a public market.
getty
For communities to be nourished, their food supply must be safe to eat.
This sounds obvious, but its worth repeating, becaus… [+4445 chars]",,,2025-06-06T13:55:41Z,https://www.forbes.com/sites/daniellenierenberg/2025/06/06/food-safety-depends-on-every-link-in-the-supply-chain/,
usaid kenya,Defense One,Meghann Myers,"AFRICOM asks for help deterring terrorism, after Trump pulls aid to allied countries",Groups like al-Shabaab see USAID withdrawal as an opportunity.,Deterring the spread of terrorism in Africa and countering Chinas push to influence African governments got a lot harder after the Trump administration cut off billions in foreign aid earlier this ye… [+3933 chars],,,2025-05-29T21:15:17Z,https://www.defenseone.com/threats/2025/05/africom-asks-help-deterring-terrorism-after-trump-pulls-aid-allied-countries/405684/,
usaid kenya,Forbes,"Sverre Alvik, Contributor, 
 Sverre Alvik, Contributor
 https://www.forbes.com/sites/sverrealvik/","Africa Needs More Renewables, So Why Is It Investing In Fossil Fuels?",Sub-Saharan Africa has an energy funding deficit.,"LICHTENBURG, SOUTH AFRICA - MAY 8: A man is seen near the Selemela Solar Power Plant is one of the ... More largest solar power plants on the African continent that contributes to the country's energ… [+6626 chars]",,,2025-05-20T09:57:16Z,https://www.forbes.com/sites/sverrealvik/2025/05/20/africa-needs-more-renewables-so-why-is-it-investing-in-fossil-fuels/,
usaid kenya,Biztoc.com,pbs.org,How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …","The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of peo… [+137 chars]",,,2025-06-12T23:29:12Z,https://biztoc.com/x/6c16ca23e701790a,
usaid kenya,NPR,Viola Kosome,The women of No Sex for Fish are survivors — but their survival is precarious,"A group of women in Kenya rebelled against trading sex for a fisherman's catch to sell. They got their own boats, had success — but in past years have faced floods and now fears about HIV medications.","""Our members are surviving with grace,"" says Justine Adhiambo Obura, the chairperson of No Sex for Fish.
She's talking about a cooperative of 20 women who did the unthinkable. They are fishmongers f… [+10913 chars]",,,2025-06-01T12:49:51Z,https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,
usaid kenya,Foreign Policy,Nosmot Gbadamosi,Tanzania Dials Up Repression Ahead of Elections,Two foreign activists allege that security forces carried out “unimaginable cruelty.”,"Welcome to Foreign Policys Africa Brief.
The highlights this week: Tanzania detains and deports foreign activists amid an opposition crackdown, the United Kingdom recognizes Moroccos claim to Wester… [+10812 chars]",,,2025-06-04T05:00:27Z,http://foreignpolicy.com/2025/06/04/tanzania-activists-arrest-elections-security-forces-torture-allegations/,
