source,author,title,description,url,publishedAt,content
Al Jazeera English,Al Jazeera,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,2025-06-06T11:21:51Z,President Donald Trump and adviser Elon Musk celebrated their efforts to slash federal spending before Musk stepped away from his White House work. Musk wore a black DOGE hat over a bruised right eye… [+11355 chars]
CleanTechnica,Guest Contributor,"The Life Story of Ecomobilus Technologies Limited, Kenya — emKoko Project","By Prof Geoffrey Gitau Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mkokoteni in Kenya) play a crucial role in Kenya, providing a c…",https://cleantechnica.com/2025/05/26/the-life-story-of-ecomobilus-technologies-limited-kenya-emkoko-project/,2025-05-26T17:13:41Z,"By Prof Geoffrey Gitau
Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mk… [+7286 chars]"
ProPublica,by Brett Murphy and Anna Maria Barry-Jester,"Death, Sexual Violence and Human Trafficking: Fallout From U.S. Aid Withdrawal Hits the World’s Most Fragile Locations","by Brett Murphy and Anna Maria Barry-Jester 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as they’re published.

 

 

 
 



 
American diplomats in at least two countries have r…",https://www.propublica.org/article/trump-usaid-malawi-state-department-crime-sexual-violence-trafficking,2025-05-28T18:45:00Z,"ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as theyre published.
American diplomats in at least two countries have recently d… [+11648 chars]"
Yahoo Entertainment,TAIWO ADEBAYO,Children die as USAID aid cuts snap a lifeline for the world's most malnourished,"Under the dappled light of a thatched shelter, Yagana Bulama cradles her surviving infant.  The other twin is gone, a casualty of malnutrition and the...",https://www.yahoo.com/news/children-die-usaid-aid-cuts-041524665.html,2025-05-16T04:15:24Z,"DIKWA, Nigeria (AP) Under the dappled light of a thatched shelter, Yagana Bulama cradles her surviving infant. The other twin is gone, a casualty of malnutrition and the international funding cuts th… [+5736 chars]"
DW (English),Silja Fröhlich,How hard are the USAID cuts hitting Africa?,"HIV patients are losing access to medication, while healthcare programs have come to a halt. What impact has the Trump administration's USAID cuts had on healthcare in Africa?",https://www.dw.com/en/how-hard-are-usaid-cuts-hitting-africa/a-72464620,2025-05-11T06:30:00Z,"For the inhabitants of remote South African villages, getting access to medication is a challenge. HIV patients like 19-year-old Nozuko Majola must travel more than an hour to get the vital antiretro… [+6617 chars]"
DW (English),Silja Fröhlich,How hard are USAID cuts hitting Africa's healthcare?,"HIV patients are losing access to medication, while healthcare programs have come to a halt. What impact are the Trump administration's USAID cuts having on healthcare in Africa?",https://www.dw.com/en/how-hard-are-usaid-cuts-hitting-africas-healthcare/a-72464620,2025-05-11T06:30:00Z,"For the inhabitants of remote South African villages, getting access to medication is a challenge. HIV patients like 19-year-old Nozuko Majola must travel more than an hour to get the vital antiretro… [+6617 chars]"
Boston Herald,Associated Press,Children die as USAID aid cuts snap a lifeline for the world’s most malnourished,"Globally, 50% of the therapeutic foods for treating malnutrition in children were funded by USAID.",https://www.bostonherald.com/2025/05/16/usaid-cuts-children/,2025-05-16T18:59:12Z,"By TAIWO ADEBAYO
DIKWA, Nigeria (AP) Under the dappled light of a thatched shelter, Yagana Bulama cradles her surviving infant. The other twin is gone, a casualty of malnutrition and the internation… [+5843 chars]"
Defense One,Meghann Myers,"AFRICOM asks for help deterring terrorism, after Trump pulls aid to allied countries",Groups like al-Shabaab see USAID withdrawal as an opportunity.,https://www.defenseone.com/threats/2025/05/africom-asks-help-deterring-terrorism-after-trump-pulls-aid-allied-countries/405684/,2025-05-29T21:15:17Z,Deterring the spread of terrorism in Africa and countering Chinas push to influence African governments got a lot harder after the Trump administration cut off billions in foreign aid earlier this ye… [+3933 chars]
Forbes,"Sverre Alvik, Contributor, 
 Sverre Alvik, Contributor
 https://www.forbes.com/sites/sverrealvik/","Africa Needs More Renewables, So Why Is It Investing In Fossil Fuels?",Sub-Saharan Africa has an energy funding deficit.,https://www.forbes.com/sites/sverrealvik/2025/05/20/africa-needs-more-renewables-so-why-is-it-investing-in-fossil-fuels/,2025-05-20T09:57:16Z,"LICHTENBURG, SOUTH AFRICA - MAY 8: A man is seen near the Selemela Solar Power Plant is one of the ... More largest solar power plants on the African continent that contributes to the country's energ… [+6626 chars]"
Dailycoffeenews.com,Nick Brown,TechnoServe Builds a Case for Regenerative Agriculture Investments in Coffee,"With research supported by two of the world’s largest coffee companies, the United States-based nonprofit TechnoServe is making a business case for investing in regenerative agriculture in the coffee sector....",https://dailycoffeenews.com/2025/05/13/technoserve-builds-a-case-for-regenerative-agriculture-investments-in-coffee/,2025-05-13T14:09:01Z,"Coffee plants growing under a shade canopy. Daily Coffee News photo by Nick Brown.
With research supported by two of the world’s largest coffee companies, the United States-based nonprofit TechnoSer… [+3952 chars]"
