keyword,source,title,description,url,publishedAt
USAID cuts Kenya,Al Jazeera English,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,2025-06-06T11:21:51Z
USAID cuts Kenya,ProPublica,"Death, Sexual Violence and Human Trafficking: Fallout From U.S. Aid Withdrawal Hits the World’s Most Fragile Locations","by Brett Murphy and Anna Maria Barry-Jester 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as they’re published.

 

 

 
 



 
American diplomats in at least two countries have r…",https://www.propublica.org/article/trump-usaid-malawi-state-department-crime-sexual-violence-trafficking,2025-05-28T18:45:00Z
USAID cuts Kenya,Forbes,Food Safety Depends On Every Link In The Supply Chain,Almost 1 in 10 people globally fall ill from contaminated food every year. Making our food supply safer for communities depends on everyone.,https://www.forbes.com/sites/daniellenierenberg/2025/06/06/food-safety-depends-on-every-link-in-the-supply-chain/,2025-06-06T13:55:41Z
USAID cuts Kenya,Biztoc.com,How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …",https://biztoc.com/x/6c16ca23e701790a,2025-06-12T23:29:12Z
USAID cuts Kenya,The Irish Times,"Concern Worldwide faces shutdown in some countries amid budget cuts, lost US funding",Irish international humanitarian agency says more jobs at risk,https://www.irishtimes.com/ireland/2025/06/09/concern-faces-shutdown-in-some-countries-amid-budget-cuts-and-lost-us-funding/,2025-06-09T05:00:00Z
USAID cuts Kenya,NPR,The women of No Sex for Fish are survivors — but their survival is precarious,"A group of women in Kenya rebelled against trading sex for a fisherman's catch to sell. They got their own boats, had success — but in past years have faced floods and now fears about HIV medications.",https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,2025-06-01T12:49:51Z
USAID cuts Kenya,The Conversation Africa,"When developing countries band together, lifesaving drugs become cheaper and easier to buy − with trade-offs",Pharmaceutical companies have little incentive to sell drugs to countries that can’t afford them. But bargaining together can increase access to vital treatments worldwide.,https://theconversation.com/when-developing-countries-band-together-lifesaving-drugs-become-cheaper-and-easier-to-buy-with-trade-offs-255383,2025-06-17T12:34:40Z
USAID cuts Kenya,Thenation.com,How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…",https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/,2025-06-15T08:45:00Z
USAID cuts Kenya,PBS,How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …",https://www.pbs.org/newshour/show/how-usaid-cuts-are-impacting-the-fight-against-hiv-in-kenya,2025-06-12T22:25:28Z
USAID cuts Kenya,Chinadigitaltimes.net,"Polls Show Global Attitudes Towards China Improve, At Expense of U.S.",Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have expressed increasingly favorable views towards China and le…,https://chinadigitaltimes.net/?p=704247,2025-06-12T06:35:07Z
USAID cuts Kenya,Africasacountry.com,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.",https://africasacountry.com/2025/06/between-washington-and-beijing/,2025-06-04T12:14:54Z
USAID cuts Kenya,DW (English),Tanzania's crackdown on activists tests East African relations,Opposition activists from Kenya allege that they were detained and tortured in neighboring Tanzania. Leaders there don’t seem to like that cross-border economic cooperation has extended to human rights solidarity. An unusual request from the Kenyan president …,https://www.dw.com/en/tanzanias-crackdown-on-activists-tests-east-african-relations/a-72832572,2025-06-07T19:45:00Z
USAID cuts Kenya,DW (English),Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,2025-06-03T07:09:00Z
USAID cuts Kenya,Lse.ac.uk,Is the managed migration of health workers “ethics washing” or something more?,"Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine Hanrieder and Leon Janauschek … Continued
The post Is the managed migration of h…",https://blogs.lse.ac.uk/europpblog/2025/06/16/is-the-managed-migration-of-health-workers-ethics-washing-or-something-more/,2025-06-16T08:31:59Z
USAID cuts Kenya,Plos.org,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…",https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/,2025-06-05T20:02:02Z
USAID cuts Kenya,TechCabal,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/,2025-06-02T10:53:32Z
USAID cuts Kenya,Inter Press Service,Weaponizing Food Worsens Starvation,"Wars, economic shocks, planetary heating and aid cuts have worsened food crises in recent years, with almost 300 million people now threatened by starvation. Why hunger? World food production has increased almost fourfold since 1960. FAO statistics indicate e…",https://www.ipsnews.net/2025/06/weaponizing-food-worsens-starvation/,2025-06-17T06:21:39Z
USAID cuts Kenya,Inter Press Service,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…",https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/,2025-05-29T09:45:24Z
foreign aid kenya USAID,Al Jazeera English,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,2025-06-06T11:21:51Z
foreign aid kenya USAID,ProPublica,"Death, Sexual Violence and Human Trafficking: Fallout From U.S. Aid Withdrawal Hits the World’s Most Fragile Locations","by Brett Murphy and Anna Maria Barry-Jester 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as they’re published.

 

 

 
 



 
American diplomats in at least two countries have r…",https://www.propublica.org/article/trump-usaid-malawi-state-department-crime-sexual-violence-trafficking,2025-05-28T18:45:00Z
foreign aid kenya USAID,Defense One,"AFRICOM asks for help deterring terrorism, after Trump pulls aid to allied countries",Groups like al-Shabaab see USAID withdrawal as an opportunity.,https://www.defenseone.com/threats/2025/05/africom-asks-help-deterring-terrorism-after-trump-pulls-aid-allied-countries/405684/,2025-05-29T21:15:17Z
foreign aid kenya USAID,NPR,The women of No Sex for Fish are survivors — but their survival is precarious,"A group of women in Kenya rebelled against trading sex for a fisherman's catch to sell. They got their own boats, had success — but in past years have faced floods and now fears about HIV medications.",https://www.npr.org/sections/goats-and-soda/2025/06/01/g-s1-69308/the-women-of-no-sex-for-fish-are-survivors-but-their-survival-is-precarious,2025-06-01T12:49:51Z
foreign aid kenya USAID,Africasacountry.com,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.",https://africasacountry.com/2025/06/between-washington-and-beijing/,2025-06-04T12:14:54Z
foreign aid kenya USAID,The Conversation Africa,"When developing countries band together, lifesaving drugs become cheaper and easier to buy − with trade-offs",Pharmaceutical companies have little incentive to sell drugs to countries that can’t afford them. But bargaining together can increase access to vital treatments worldwide.,https://theconversation.com/when-developing-countries-band-together-lifesaving-drugs-become-cheaper-and-easier-to-buy-with-trade-offs-255383,2025-06-17T12:34:40Z
foreign aid kenya USAID,Thenation.com,How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…",https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/,2025-06-15T08:45:00Z
foreign aid kenya USAID,DW (English),Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,2025-06-03T07:09:00Z
foreign aid kenya USAID,Lse.ac.uk,Is the managed migration of health workers “ethics washing” or something more?,"Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine Hanrieder and Leon Janauschek … Continued
The post Is the managed migration of h…",https://blogs.lse.ac.uk/europpblog/2025/06/16/is-the-managed-migration-of-health-workers-ethics-washing-or-something-more/,2025-06-16T08:31:59Z
foreign aid kenya USAID,Plos.org,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…",https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/,2025-06-05T20:02:02Z
foreign aid kenya USAID,Inter Press Service,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…",https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/,2025-05-29T09:45:24Z
funding cuts kenya,Al Jazeera English,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,2025-06-06T11:21:51Z
funding cuts kenya,BBC News,Starvation alert as children fill Kenya refugee ward after US aid cuts,"A UN official warns that hundreds of thousands in the sprawling camp are ""slowly starving"".",https://www.bbc.com/news/articles/c1dew7zyg49o,2025-06-12T04:53:29Z
