source,author,title,description,content,url,published_at
Al Jazeera English,Shola Lawal,Why are humanitarian crises in African countries so ignored?,The latest Most Neglected Crises report on world's most invisible humanitarian emergencies lists African nations first.,"African countries have again topped the list of the worlds most ignored crises, with nearly all of the worst-funded humanitarian challenges located in the continent in 2024, according to a new study … [+12532 chars]",https://www.aljazeera.com/news/2025/6/3/why-are-humanitarian-crises-in-african-countries-so-ignored,2025-06-03 08:05:37+00:00
Biztoc.com,benzinga.com,Bill Gates Commits Majority Of $200 Billion Foundation Budget To Africa Over Next 20 Years Amid Trump's Massive USAID Cuts,"Tech Billionaire Bill Gates, Chair of the Gates Foundation, has committed to allocating the majority of the foundation’s $200 billion spend over the next two decades to Africa. The announcement was made during his address at the African Union’s Nelson Mandela…","Tech Billionaire Bill Gates, Chair of the Gates Foundation, has committed to allocating the majority of the foundations $200 billion spend over the next two decades to Africa. The announcement was ma… [+143 chars]",https://biztoc.com/x/ea37e5afbc57516f,2025-06-03 07:15:41+00:00
DW (English),Jon Shelton,Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,"US billionaire Bill Gates on Tuesday announced that the majority of his philanthropic Gates Foundation's $200 billion (175 billion) endowment will be spent in Africa over the next two decades.
Gates… [+4070 chars]",https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,2025-06-03 07:09:00+00:00
Israelnationalnews.com,Anjuli Pandavar,Ideological wars do NOT end in deals,"This is so even if the leader of the Free World believes otherwise. It seems the deal is Trump’s Achilles heel, one that readily steps on friends.  Opinion.","Dr Anjuli Pandavaris a British writer and social critic who holds a PhD in political economy. She was born into a Muslim family in apartheid South Africa, where she left Islam in 1979. Anjuli is prep… [+12997 chars]",https://www.israelnationalnews.com/news/409356,2025-06-03 06:42:18+00:00
Americanthinker.com,,What is America’s obligation to keep the rest of the world alive?,"The Pax Romana was a two-hundred-year period during which Rome’s influence led to a time of relative peace and prosperity as BC transitioned to AD. It wasn’t a Roman welfare program that did it. It was that Rome, by creating a stable empi...",The Pax Romana was a two-hundred-year period during which Rome’s influence led to a time of relative peace and prosperity as BC transitioned to AD. It wasn’t a Roman welfare program that did it. It w… [+3252 chars],https://www.americanthinker.com/blog/2025/06/what_is_america_s_obligation_to_keep_the_rest_of_the_world_alive.html,2025-06-03 04:00:00+00:00
Israelnationalnews.com,Israel National News,'USAID' paperwork found in car of Colorado terror attack suspect,Mohamed Sabry Soliman told law enforcement officials that he would conduct the attack again.,"Paperwork with the word ""USAID"" was found in the car of Mohamed Sabry Soliman, who was accused of allegedly throwing the explosives at the attack in Boulder, Colorado.
According to Fox News, an arre… [+414 chars]",https://www.israelnationalnews.com/news/409346,2025-06-03 03:18:16+00:00
Activistpost.com,Editor,US Reinstates Funding to Propaganda Outlet NED,"National Endowment for Democracy weaponizes “democracy” in Venezuela, Nicaragua and Cuba The brief freeze and rapid partial reinstatement of National Endowment for Democracy (NED) funding in early 2025 helped expose it as a US regime-change tool. Created to r…","National Endowment for Democracy weaponizes democracy in Venezuela, Nicaragua and Cuba
The brief freeze and rapid partial reinstatement of National Endowment for Democracy (NED) funding in early 202… [+9571 chars]",https://www.activistpost.com/us-reinstates-funding-to-propaganda-outlet-ned/,2025-06-03 02:45:00+00:00
Mail.ru,Диана Дьякова,Билл Гейтс решил направить значительную часть состояния на помощь Африке,"Гейтс обязался вложить в свой благотворительный фонд на следующие 20 лет $200 млрд — и наибольшая часть этих средств пойдет на проекты в Африке, пообещал он.","Financial Times   Forbes ( $420 )  « » -    (USAID).
    (DOGE), . USAID, 80% .   ,       .",https://news.mail.ru/politics/66408257/,2025-06-03 02:06:47+00:00
Freerepublic.com,Fox News,'USAID' paperwork found in car of Boulder terror attack suspect targeting pro-Israel group,"Paperwork with the word ""USAID"" was found in the car of Mohamed Sabry Soliman, who's accused of allegedly throwing explosives at a group in Boulder, Colorado, peacefully protesting for the release of Hamas' hostages. The incident happened on Sunday as the pro…","Skip to comments.
'USAID' paperwork found in car of Boulder terror attack suspect targeting pro-Israel groupFox News ^
 | June 2, 2025
 | Adam Sabes
Posted on 06/02/2025 6:37:29 PM PDT by Navy Pa… [+1999 chars]",https://freerepublic.com/focus/f-news/4320649/posts,2025-06-03 01:37:29+00:00
STERN.de,Yannik Schüller,Microsoft-Gründer: Wohin Bill Gates den Großteil seines Milliarden-Vermögen spenden will,"Was tun, wenn Geld so selbstverständlich wie Luft zum Atmen ist? Der Tech-Milliardär Bill Gates hat für sich eine Antwort gefunden: verschenken. Jetzt ist auch klar, an wen.","Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Was tun, wenn Geld so selbstverständlich wie Luft zum Atmen ist? Der Tech-Milliardär Bill Gates hat für sich eine Antwort gefunden: verschenken. … [+2989 chars]",https://www.stern.de/panorama/-wem-bill-gates-den-grossteil-seines-milliarden-vermoegen-schenken-will-35775760.html,2025-06-03 01:15:00+00:00
Erickimphotography.com,ERIC KIM,Vision.,"So it looks like we have crossed the chasm in which honestly… It looks like we bitcoin trillionaire’s will thrive indefinitely. Michael Saylor is the high priest of the bitcoin Crusade, and he is unstoppable. He’s like a runaway train, which refuses to stop. …","So it looks like we have crossed the chasm in which honestly It looks like we bitcoin trillionaires will thrive indefinitely. Michael Saylor is the high priest of the bitcoin Crusade, and he is unsto… [+4761 chars]",https://erickimphotography.com/blog/2025/06/02/vision-8/,2025-06-03 00:10:15+00:00
Fox News,Sarah Rumpf-Whitten,Boulder suspect spent a year planning Molotov cocktail attack on pro-Israel march: docs,"Mohamed Sabry Soliman allegedly planned a terror attack on a pro-Israel march in Boulder, citing Zionist threats, resulting in twelve injuries and federal hate crime charges.","The Boulder, Colorado domestic terrorism suspect spent a year preparing to hurl Molotov cocktails into a peaceful pro-Israel march, court documents revealed.
Mohamed Sabry Soliman, an Egyptian natio… [+3041 chars]",https://www.foxnews.com/us/boulder-suspect-spent-year-planning-molotov-cocktail-attack-pro-israel-march-docs,2025-06-02 23:00:02+00:00
MSNBC,Eoin Higgins,The end of Elon Musk's Washington tenure should be the beginning of his reckoning,"Elon Musk has left the White House and the Department of Government Efficiency, and Democrats should investigate his tenure as soon as they control Congress.","Elon Musk has formally left the White House and the Department of Government Efficiency, as he attempts to reset his image from haphazard budget slasher back to supposed tech visionary. Whether he ac… [+5740 chars]",https://www.msnbc.com/opinion/msnbc-opinion/elon-musk-doge-democrats-accountable-trump-administration-rcna210373,2025-06-02 22:11:49+00:00
Fox News,Adam Sabes,'USAID' paperwork found in car of Boulder terror attack suspect targeting pro-Israel group,"Paperwork that reads ""USAID"" was found inside the car of Mohamed Sabry Soliman, who's accused of throwing explosives at pro-Israel protesters in Boulder, Colorado.","Paperwork with the word ""USAID"" was found in the car of Mohamed Sabry Soliman, who's accused of allegedly throwing explosives at a group in Boulder, Colorado, peacefully protesting for the release of… [+3518 chars]",https://www.foxnews.com/us/usaid-paperwork-found-car-boulder-terror-attack-suspect-targeting-pro-israel-group,2025-06-02 22:08:39+00:00
BBC News,https://www.facebook.com/bbcnews,A controversa organização apoiada por EUA e Israel no centro de incidentes com morte em distribuição de comida em Gaza,"O que sabemos sobre a controversa agência humanitária GHF, que começou a distribuir ajuda no sul de Gaza?","Crédito, Reuters
Legenda da foto, Caminhões transportando ajuda humanitária com a marca da GHF são vistos na passagem de Kerem Shalom entre Israel e Gaza, no lado israelense
Um ""fluxo de vítimas em… [+9213 chars]",https://www.bbc.com/portuguese/articles/c20qjyzenlwo,2025-06-02 21:38:11+00:00
ABC News (AU),ABC News,Colorado terror attack suspect charged with hate crime,FBI documents allege Mohamed Sabry Soliman used a makeshift flamethrower and threw Molotov cocktails at a pro-Israel group in an attack he says he planned for more than a year.,"A man accused of throwing Molotov cocktails at a pro-Israel group in Colorado had planned the alleged terror attack for more than a year and has been charged with a federal hate crime, according to c… [+7816 chars]",https://www.abc.net.au/news/2025-06-03/colorado-terror-attack-suspect-charged-with-us-hate-crime/105369384,2025-06-02 20:27:20+00:00
Fox News,Elizabeth Elkind,SCOOP: House Freedom Caucus draws battle lines as White House readies $9.4B DOGE spending cuts,"The conservative House Freedom Caucus is demanding a swift vote on the impending White House spending cuts package targeting USAID, NPR, and PBS.",FIRST ON FOX: The House Freedom Caucus is demanding the House of Representatives vote on the White Houses impending $9.4 billion federal spending cut proposal the same week it lands on Capitol Hill.… [+4301 chars],https://www.foxnews.com/politics/scoop-house-freedom-caucus-draws-battle-lines-white-house-readies-9-4b-doge-spending-cuts,2025-06-02 19:40:30+00:00
The Jerusalem Post,BY DANIEL FREEDMAN,How closing Arab refugee camps would undercut the global intifada,Solving the broader refugee problem would pave the way for more countries to make peace with Israel and would expand the accords more rapidly.,"Following a second attack in as many weeks on Jews in the US by terrorists yelling “Free Palestine,” there’s a bold path President Trump could take to both outflank the anti-Israel movement just as (… [+6651 chars]",https://www.jpost.com/opinion/article-856305,2025-06-02 19:10:55+00:00
Expansion.com,Sergio Saiz,Los tribunales de EEUU bloquean los grandes planes de Trump,"El presidente de EEUU se ha encontrado con una férrea oposición a su agenda política, impugnada ante la Justicia, que está dando la razón a los demandantes y, al mismo tiempo, limitando el poder del inquilino del Despacho Oval. Leer","El presidente de EEUU se ha encontrado con una férrea oposición a su agenda política, impugnada ante la Justicia, que está dando la razón a los demandantes y, al mismo tiempo, limitando el poder del … [+14298 chars]",https://www.expansion.com/juridico/actualidad-tendencias/2025/06/02/683dd4dce5fdea365a8b4575.html,2025-06-02 18:45:11+00:00
Abril.com.br,Felipe Branco Cruz,Eleitores de Trump criticam Bono após participação do músico em podcast,Vocalista do U2 participou do podcast de Joe Rogan e criticou o desmantelamento do USAID e as ações de Elon Musk,"Namorados: Assine Digital Completo por 1,99
Bono Vox, vocalista do U2, em cena do documentário Bono - Histórias de ""Surrender"" (Apple TV+/Divulgação)
Continua após publicidade
A participação de qu… [+1767 chars]",https://veja.abril.com.br/coluna/o-som-e-a-furia/eleitores-de-trump-criticam-bono-apos-participacao-do-musico-em-podcast/,2025-06-02 18:41:00+00:00
Viomundo.com.br,Redação,Max Blumenthal e Wyatt Reed: Mossad é o grande financiador da “Fundação Humanitária de Gaza”,"Rede de empresas mercenárias que Israel usa para substituir Nações Unidas na alimentação dos palestinos
O post Max Blumenthal e Wyatt Reed: Mossad é o grande financiador da “Fundação Humanitária de Gaza” apareceu primeiro em Viomundo.","Mossad é o grande financiador da Fundação Humanitária de Gaza
Fundada em fevereiro deste ano na Suíça sob um véu de mistério, ela funciona como um guarda-chuva para uma rede de empresas mercenárias … [+12074 chars]",https://www.viomundo.com.br/denuncias/max-blumenthal-e-wyatt-reed-mossad-e-o-grande-financiador-da-fundacao-humanitaria-de-gaza.html,2025-06-02 18:25:24+00:00
