,source,title,description,content,url,publishedAt
0,The Conversation Africa,"When developing countries band together, lifesaving drugs become cheaper and easier to buy − with trade-offs",Pharmaceutical companies have little incentive to sell drugs to countries that can’t afford them. But bargaining together can increase access to vital treatments worldwide.,"Pooling procurement of drugs could increase the availability of essential treatments around the globe. narvo vexar/iStock via Getty Images Plus
Procuring lifesaving drugs is a daunting challenge in … [+8144 chars]",https://theconversation.com/when-developing-countries-band-together-lifesaving-drugs-become-cheaper-and-easier-to-buy-with-trade-offs-255383,2025-06-17T12:34:40Z
1,Inter Press Service,Weaponizing Food Worsens Starvation,"Wars, economic shocks, planetary heating and aid cuts have worsened food crises in recent years, with almost 300 million people now threatened by starvation. Why hunger? World food production has increased almost fourfold since 1960. FAO statistics indicate e…","Armed Conflicts, Economy &amp; Trade, Environment, Food and Agriculture, Food Security and Nutrition, Food Sustainability, Food Systems, Global, Headlines, Inequality, Poverty &amp; SDGs, TerraViva U… [+5406 chars]",https://www.ipsnews.net/2025/06/weaponizing-food-worsens-starvation/,2025-06-17T06:21:39Z
2,Thenation.com,How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…","At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students safety.
Ad Policy
People wal… [+27298 chars]",https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/,2025-06-15T08:45:00Z
3,Plos.org,Spatial distribution of stunting among breast feeding children in Sub-Sahara Africa,"Background Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease. In addition to limiting physical growth, stunting also impedes social …","Abstract
Background
Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease.… [+29854 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325812,2025-06-13T14:00:00Z
4,Daily Signal,Congress Should Quickly Approve Trump’s Rescission Legislation,"President Donald Trump‘s rescission legislation has finally arrived in Congress, where it will have 45 days to be approved by both chambers on a simple majority vote.... Read More
The post Congress Should Quickly Approve Trump’s Rescission Legislation appeare…","President Donald Trumps rescission legislation has finally arrived in Congress, where it will have 45 days to be approved by both chambers on a simple majority vote. Success would be a significant vi… [+5038 chars]",https://www.dailysignal.com/2025/06/10/congress-should-quickly-approve-trumps-rescission-legislation/,2025-06-10T12:00:00Z
5,The Irish Times,"Concern Worldwide faces shutdown in some countries amid budget cuts, lost US funding",Irish international humanitarian agency says more jobs at risk,"Irish international aid agency Concern Worldwide has said that it will have to close its operations in some countries and introduce more staff redundancies as a result of budget cuts.
But it has sai… [+5025 chars]",https://www.irishtimes.com/ireland/2025/06/09/concern-faces-shutdown-in-some-countries-amid-budget-cuts-and-lost-us-funding/,2025-06-09T05:00:00Z
6,Forbes,Food Safety Depends On Every Link In The Supply Chain,Almost 1 in 10 people globally fall ill from contaminated food every year. Making our food supply safer for communities depends on everyone.,"Colorful fish and vegetables can be purchased at a public market.
getty
For communities to be nourished, their food supply must be safe to eat.
This sounds obvious, but its worth repeating, becaus… [+4445 chars]",https://www.forbes.com/sites/daniellenierenberg/2025/06/06/food-safety-depends-on-every-link-in-the-supply-chain/,2025-06-06T13:55:41Z
7,Al Jazeera English,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",President Donald Trump and adviser Elon Musk celebrated their efforts to slash federal spending before Musk stepped away from his White House work. Musk wore a black DOGE hat over a bruised right eye… [+11355 chars],https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,2025-06-06T11:21:51Z
8,Plos.org,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…","By guest contributors Sherin Paul and Mirfin Mpundu
Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the most vulnerable popula… [+8587 chars]",https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/,2025-06-05T20:02:02Z
9,Plos.org,Integrating Nature-based Solutions for urban water security in global south,Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized for accelerating sustainability and delivering multiple co-benefits. Ho…,"Abstract
Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized f… [+64118 chars]",https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000372,2025-06-05T14:00:00Z
10,Africasacountry.com,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.","Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.



 
 
 Port of Lagos, Nigeria. Image © Oussama Obeid vi… [+21739 chars]",https://africasacountry.com/2025/06/between-washington-and-beijing/,2025-06-04T12:14:54Z
11,DW (English),Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,"US billionaire Bill Gates on Tuesday announced that the majority of his philanthropic Gates Foundation's $200 billion (175 billion) endowment will be spent in Africa over the next two decades.
Gates… [+4070 chars]",https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,2025-06-03T07:09:00Z
12,TechCabal,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,Kenya is preparing to move critical health data currently hosted in the United States following President Donald Trump’s cuts to the United States Agency for International Development (USAID) funding… [+2866 chars],https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/,2025-06-02T10:53:32Z
13,Defense One,"AFRICOM asks for help deterring terrorism, after Trump pulls aid to allied countries",Groups like al-Shabaab see USAID withdrawal as an opportunity.,Deterring the spread of terrorism in Africa and countering Chinas push to influence African governments got a lot harder after the Trump administration cut off billions in foreign aid earlier this ye… [+3933 chars],https://www.defenseone.com/threats/2025/05/africom-asks-help-deterring-terrorism-after-trump-pulls-aid-allied-countries/405684/,2025-05-29T21:15:17Z
14,Inter Press Service,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…","Climate Change, Crime &amp; Justice, Development &amp; Aid, Economy &amp; Trade, Food and Agriculture, Headlines, Health, Human Rights, Latin America &amp; the Caribbean, Migration &amp; Refugees, Te… [+6503 chars]",https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/,2025-05-29T09:45:24Z
15,ProPublica,"Death, Sexual Violence and Human Trafficking: Fallout From U.S. Aid Withdrawal Hits the World’s Most Fragile Locations","by Brett Murphy and Anna Maria Barry-Jester 
 

 
 
 ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as they’re published.

 

 

 
 



 
American diplomats in at least two countries have r…","ProPublica is a nonprofit newsroom that investigates abuses of power. Sign up to receive our biggest stories as soon as theyre published.
American diplomats in at least two countries have recently d… [+11648 chars]",https://www.propublica.org/article/trump-usaid-malawi-state-department-crime-sexual-violence-trafficking,2025-05-28T18:45:00Z
16,CleanTechnica,"The Life Story of Ecomobilus Technologies Limited, Kenya — emKoko Project","By Prof Geoffrey Gitau Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mkokoteni in Kenya) play a crucial role in Kenya, providing a c…","By Prof Geoffrey Gitau
Here is a story showcasing how innovation in Kenya’s electric mobility sector is helping to address real problems where it matters most. Pedestrian-pulled handcarts (called mk… [+7286 chars]",https://cleantechnica.com/2025/05/26/the-life-story-of-ecomobilus-technologies-limited-kenya-emkoko-project/,2025-05-26T17:13:41Z
17,Plos.org,Stakeholders’ perspectives on the status of family planning integration into differentiated antiretroviral therapy service delivery models in Uganda: A qualitative assessment,"Introduction Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-care-oriented family planning (FP) services into HIV care. However, little…","Abstract
Introduction
Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-car… [+71973 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324616,2025-05-22T14:00:00Z
18,Forbes,"Africa Needs More Renewables, So Why Is It Investing In Fossil Fuels?",Sub-Saharan Africa has an energy funding deficit.,"LICHTENBURG, SOUTH AFRICA - MAY 8: A man is seen near the Selemela Solar Power Plant is one of the ... More largest solar power plants on the African continent that contributes to the country's energ… [+6626 chars]",https://www.forbes.com/sites/sverrealvik/2025/05/20/africa-needs-more-renewables-so-why-is-it-investing-in-fossil-fuels/,2025-05-20T09:57:16Z
19,Givewell.org,May 2025 Updates,Every month we send an email newsletter to our supporters sharing recent updates from our work. We publish selected portions of the newsletter on our blog to make this news more accessible to people who visit our website. For key updates from the latest insta…,Every month we send an email newsletter to our supporters sharing recent updates from our work. We publish selected portions of the newsletter on our blog to make this news more accessible to people … [+3507 chars],https://blog.givewell.org/2025/05/19/may-2025-updates/,2025-05-19T19:26:41Z
